id,name,created_at,updated_at,street1,zip,city,state,metro_id,longitude,latitude,street2,zone_id,store_id,county,deleted_at,opening_hour,closing_hour,store_number,store_group,active,allows_pickup,is_envoy_only,service_area_id,sells_alcohol,tax_exempt
9486,New York Butcher Shoppe - Daniel Island,2018-10-30 14:50:35.64713,2018-12-06 04:57:52.060522,864 Island Park Dr,29492,Daniel Island,SC,35,-79.9048162,32.863725,NULL,906,80,Berkeley County,NULL,10,19,492,NULL,True,False,False,NULL,False,NULL
7322,Target - La Verne,2018-08-26 15:13:46.957706,2018-12-07 23:19:25.861688,2462 Foothill Blvd,91750,La Verne,CA,277,-117.7598259,34.1096594,NULL,2526,27,Los Angeles County,NULL,8,23,226,NULL,True,False,False,NULL,True,NULL
11695,Fry's Food - Camelback Rd,2019-01-17 17:20:02.889161,2019-02-07 09:54:59.92498,13730 W Camelback Rd,85340,Litchfield Park,AZ,12,-112.3559473,33.5100191,NULL,2887,4,Maricopa County,NULL,5,23,667,NULL,True,False,False,NULL,False,NULL
7217,Ralphs - Poinsettia Village,2018-08-22 20:34:25.856754,2018-10-30 02:27:59.882152,7140 Avenida Encinas,92011,Carlsbad,CA,274,-117.310515,33.1011675,NULL,2749,62,San Diego County,NULL,6,24,175,NULL,True,False,False,NULL,False,NULL
9567,H-E-B - Alice,2018-11-12 18:02:55.364401,2018-12-12 04:51:19.373018,1115 E Main St,78332,Alice,TX,50,-98.0637388,27.7520495,NULL,2813,8,Jim Wells County,NULL,6,24,223,NULL,True,False,False,NULL,False,NULL
1878,Harris Teeter - Rea Village Shopping Center,2016-10-11 20:59:35.077375,2018-11-06 22:32:43.177426,11135 Golf Links Drive,28277,Charlotte,NC,13,-80.772542,35.0539441,NULL,1397,6,Mecklenburg County,NULL,6,23,440,NULL,True,False,False,NULL,False,NULL
15954,Brothers Marketplace - Weston,2019-06-14 15:15:28.579747,2019-06-14 15:24:20.022466,41 Center St,02493,MA,Weston,125,-71.3006466,42.3665982,NULL,1726,49,NULL,2019-06-14 15:24:20.022427,NULL,NULL,402,NULL,False,NULL,False,NULL,False,NULL
6932,Target - Brooklyn Fulton,2018-08-14 09:27:06.427382,2019-06-18 20:34:37.317127,445 Albee Square West,11201,Brooklyn,NY,212,-73.9833099,40.6910198,NULL,2907,27,Kings County,NULL,8,24,2850,NULL,True,False,False,NULL,False,NULL
9858,Longs - Kehalani Village Dr.,2019-01-11 13:27:58.546765,2019-01-25 20:44:55.405945,135 KEHALANI VILLAGE DR.,96793,WAILUKU,HI,292,-156.500718,20.8718901,NULL,2816,86,Maui County,NULL,6,24,10060,NULL,False,False,False,NULL,False,NULL
3085,Target - Edmond,2017-12-19 03:43:54.422504,2018-12-27 17:32:37.355208,1200 E 2nd St,73034,Edmond,OK,76,-97.4640295,35.6498298,NULL,989,27,Oklahoma County,NULL,8,23,1398,NULL,True,False,False,NULL,False,NULL
